Year,Predicted_GHG_Emissions
2025,233047117147.55078
2026,234493563910.28516
2027,235940010673.01904
2028,237386457435.75293
2029,238832904198.4873
2030,240279350961.2212
2031,241725797723.95508
2032,243172244486.68945
2033,244618691249.42334
2034,246065138012.15723
2035,247511584774.8916
2036,248958031537.6255
2037,250404478300.35938
2038,251850925063.09375
2039,253297371825.82764
2040,254743818588.56152
2041,256190265351.2959
2042,257636712114.0298
2043,259083158876.76367
2044,260529605639.49805
2045,261976052402.23193
2046,263422499164.96582
2047,264868945927.7002
2048,266315392690.43408
2049,267761839453.16797
2050,269208286215.90234
