Year,Total_GHG_Emissions
1850,22396954005.06902
1851,23423768095.39247
1852,23734827742.8669
1853,24039439150.66573
1854,24494569534.84079
1855,24291432409.06622
1856,24999194638.71464
1857,24897583364.80674
1858,25090735571.09331
1859,25584590344.58072
1860,24609294509.92924
1861,24829312543.99453
1862,24811584499.954758
1863,24855123772.89869
1864,24695436782.10022
1865,24689162912.05104
1866,25112134216.284218
1867,25168168360.08875
1868,25130368127.7968
1869,25628398897.02234
1870,27060168678.42172
1871,27287395900.46571
1872,28970153495.38593
1873,28889205526.30206
1874,29818160533.48808
1875,30737223062.73922
1876,30993004867.41843
1877,30650705179.18816
1878,31253086933.09573
1879,31595242794.31157
1880,33037527259.79138
1881,33254789356.11954
1882,34641318558.14932
1883,34617564815.2314
1884,35633974361.55747
1885,35759279015.72228
1886,35404961996.34234
1887,36545324870.51279
1888,36704364257.30383
1889,37464304194.34838
1890,39636058071.9952
1891,41165119232.48436
1892,41018259934.84742
1893,41926409242.9558
1894,42569071470.9105
1895,43175493588.36645
1896,43170471999.13844
1897,44673222666.25074
1898,45039620427.27205
1899,46585967460.3649
1900,47848783796.12832
1901,48370987429.35159
1902,49251216056.4528
1903,50325838724.52497
1904,51021623713.38403
1905,52821209440.8505
1906,53727018588.0161
1907,55569707114.35618
1908,55516361472.64393
1909,56858506963.78112
1910,56511280543.17742
1911,57151587979.9019
1912,57412015020.827484
1913,58296966142.02876
1914,56503340549.41666
1915,55969071521.89924
1916,57364344483.47333
1917,58414513968.41324
1918,57867632858.1111
1919,54564605241.50342
1920,58460834556.17928
1921,57050238271.26983
1922,58123022783.4817
1923,61089165507.00073
1924,61856846209.371796
1925,62018720667.43637
1926,61296798822.36006
1927,64316332997.10545
1928,64191484250.63777
1929,66068570234.2725
1930,64981142345.3886
1931,63497034947.434166
1932,61640493884.098
1933,63134289006.83857
1934,65499345598.7284
1935,66381888288.93625
1936,69083097998.9474
1937,71578469372.69827
1938,70537983568.47067
1939,71832577079.633
1940,74400093373.3925
1941,76438240515.3817
1942,76542683550.06094
1943,77269611659.27827
1944,77766132316.86256
1945,72018666756.9507
1946,74932515476.25554
1947,79127940228.15067
1948,80878562160.1296
1949,79996665009.6643
1950,87270663320.9236
1951,92165708593.71396
1952,93024298249.08134
1953,95321575206.8303
1954,98788453012.01285
1955,104258237901.81906
1956,108432810392.27295
1957,111199090559.3307
1958,112146598632.0505
1959,118387623503.7031
1960,116922349954.53337
1961,118502696329.55814
1962,118765064076.26425
1963,121732745612.9053
1964,124114794977.6355
1965,126488596148.4696
1966,128726896247.8378
1967,132529704357.68869
1968,136835047703.9568
1969,145093199169.7197
1970,151233374928.5335
1971,151499614509.1675
1972,157003265789.78918
1973,162090499086.8617
1974,161390270497.4844
1975,162000909836.9102
1976,168264781897.7753
1977,173092408525.3261
1978,175948644703.499
1979,176821535563.8674
1980,177546454604.4662
1981,173094258997.2633
1982,171389271969.2492
1983,173304339379.2493
1984,181034197221.6553
1985,183620532682.1305
1986,186625959146.498
1987,188689116285.749
1988,192363029820.872
1989,193456324152.0896
1990,195927706842.704
1991,197274515157.514
1992,194106751036.065
1993,192941689593.227
1994,197929060728.1175
1995,198710743749.886
1996,206042063991.642
1997,212583044627.50702
1998,204980758355.018
1999,206919095477.965
2000,207313437607.895
2001,205795826557.037
2002,209918210092.642
2003,221218373142.637
2004,223648920637.861
2005,226076871552.139
2006,233574618336.04498
2007,234434812842.7366
2008,237840450723.354
2009,235700407112.8297
2010,246643304989.84
2011,251683418629.919
2012,256464829138.522
2013,254618566347.508
2014,256572101156.985
2015,257402156160.134
2016,252190379662.023
2017,254879428037.764
2018,256701416549.217
2019,257608920734.346
2020,246787954586.3785
2021,256975313679.5114
2022,258702532550.03778
2023,259886472122.1307
